Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
3,"BAE Hanoul",FEEDER,1990-09-10,0,0, , , , ,FEMALE, 
7,"CHOI Jina",FEEDER,1993-02-08,0,0, , , , ,FEMALE, 
4,"JEON Gyumi",FEEDER,1994-12-01,0,0, , , , ,FEMALE, 
12,"JUNG Juseung",FEEDER,1992-07-31,0,0, , , , ,FEMALE, 
1,"KIM Donghee",FEEDER,1991-11-19,0,0, , , , ,FEMALE, 
10,"KIM Heejin",FEEDER,1994-12-30,0,0, , , , ,FEMALE, 
2,"KIM Iseul",FEEDER,1980-01-01,0,0, , , , ,FEMALE, 
5,"KIM Jieun",FEEDER,1992-06-04,0,0, , , , ,FEMALE, 
9,"KIM Jiyoung",FEEDER,1988-10-10,0,0, , , , ,FEMALE, 
6,"LEE Minju",FEEDER,1990-03-27,0,0, , , , ,FEMALE, 
11,"PARK Seonju",FEEDER,1992-09-06,0,0, , , , ,FEMALE, 
8,"YU Seonghee",FEEDER,1991-08-29,0,0, , , , ,FEMALE, 
