 Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,ZUNIGA,"TEAM MANAGER",1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,RAWAT,COACH,1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,"JAPAR MOHD WALI","ASST COACH",1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
2,"MOHAMMAD SELAMAT BIN YAKUP",TEKONG,1978-05-02,1.65,63,EC1238,NRIC,dennis@gmail.com,9123456793,MALE
3,"MOHAMMAD SHAHRINE BIN BUBIN",STRIKER,1978-06-02,1.65,63,EC1239,NRIC,dennis@gmail.com,9123456794,MALE
4,"MOHAMMAD HAFIZZUDDIN JAMALUDIN",FEEDER,1978-04-02,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
5,"MOHD ALLIFFUDDIN JAMALUDIN",TEKONG,1978-07-02,1.65,63,EC1240,NRIC,dennis@gmail.com,9123456795,MALE
6,"NUR ALIMIN BIN SUNGOH",TEKONG,1978-10-02,1.65,63,EC1243,NRIC,dennis@gmail.com,9123456798,MALE
7,"MUHAMMAD AZRI BIN AWANG ABDUL HARITH",FEEDER,1978-09-02,1.65,63,EC1242,NRIC,dennis@gmail.com,9123456797,MALE
8,"ABDUL MUIZ NORDIN",FEEDER,1978-01-02,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
9,"MUHAMAD BASYIRUDDIN HAJI KAMIS",STRIKER,1978-08-02,1.65,63,EC1241,NRIC,dennis@gmail.com,9123456796,FEMALE
10,"HUMAIDI BIN BRAHIM",STRIKER,1978-01-02,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
11,"ABDUL HADI BIN SAIDIN",TEKONG,1978-10-02,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
12,"JAMALUDIN BIN  AWANG HAJI MARZI",FEEDER,1978-03-02,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,FEMALE
