 Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,"SYAFRIZAL BAKTHIAR","TEAM MANAGER",1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,"ASRY SYAM",COACH,1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
,"ABDUL GANI","ASST COACH",1978-10-01,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
2,LENI,FEEDER,1989-07-06,1.63,53,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
3,"DINI MITA SARI",FEEDER,1970-01-01,1.62,52,EC1245,NRIC,dennis@gmail.com,9123456800,FEMALE
5,"FLORENSIA CRISTY",FEEDER,1970-01-01,1.75,63,EC1246,NRIC,dennis@gmail.com,9123456801,FEMALE
6,LENA,STRIKER,1989-07-06,1.63,52,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
8,"EVANA RAHMAWATI",STRIKER,1970-01-01,1.61,53,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
12,LENI,FEEDER,1989-07-06,1.63,53,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
13,"DINI MITA SARI",FEEDER,1970-01-01,1.62,52,EC1245,NRIC,dennis@gmail.com,9123456800,MALE
15,"FLORENSIA CRISTY",FEEDER,1970-01-01,1.75,63,EC1246,NRIC,dennis@gmail.com,9123456801,MALE
16,LENA,STRIKER,1989-07-06,1.63,52,EC1247,NRIC,dennis@gmail.com,9123456802,MALE
18,"EVANA RAHMAWATI",STRIKER,1970-01-01,1.61,53,EC1247,NRIC,dennis@gmail.com,9123456802,MALE
