 ,,,,,,,,,,
Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,SYAFRIZAL BAKHTIAR,TEAM MANAGER,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,ASRY SYAM,COACH,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,TRIAJI,ASST COACH,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,HERSON MOHAMAD,STRIKER,1/2/1978,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
4,REZKI YUSUF DJAINA,TEKONG,3/2/1978,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
7,SAIFUL RIJAL,FEEDER,5/2/1978,1.65,63,EC1238,NRIC,dennis@gmail.com,9123456793,MALE
8,NOFRIZAL,FEEDER,2/2/1978,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
9,HENDRA PAGO,TEKONG,1/2/1978,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
10,RIZKY ABDUL RAHMAN PAGO,STRIKER,4/2/1978,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
11,ABDUL HALIM S. RADJIU,FEEDER,10/2/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
12,VICTORIA EKA PRASETYO,STRIKER,7/2/1978,1.65,63,EC1240,NRIC,dennis@gmail.com,9123456795,MALE
13,SYAMSUL HADI,TEKONG,6/2/1978,1.65,63,EC1239,NRIC,dennis@gmail.com,9123456794,MALE
