Type,Role,Name,NOC,Passport,NRIC,DateOfBirth,e-mail,mobileno
TECHNICAL,TECHNICAL DELEGATE ,DATO ABDUL HALIM KADER,SIN,EC123456789,EC123456789,10/2/10,test@gmail.com,908098
TECHNICAL,TOURNAMENT DIRECTOR,MUHAMMAD TAUFIQ,SIN,EC123456789,EC123456790,10/2/10,test@gmail.com,908098
TECHNICAL,JURY,MUHAMMAD FARIQ,SIN,EC123456789,EC123456791,10/2/10,dennis@test.com,908098
TECHNICAL,CHIEF REFEREE,MOHD RADHI BIN CHE MEI ,SIN,EC123456790,EC123456792,11/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,SHAMSUL KAHAR BIN LOB,SIN,EC123456791,EC123456793,12/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,JOLLY JUNIA LABOY,PHI,EC123456792,EC123456794,13/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,FADZIL BIN HASHIM,MAS,EC123456793,EC123456795,14/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE, AHMAD RASHIDI BIN ABDUL RASHID,MAS,EC123456794,EC123456796,15/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,TENGKU SHAHRIL TENGKU DAHLAN,MAS,EC123456795,EC123456797,16/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ZULKEFLI BAHARUDDIN ,MAS,EC123456796,EC123456798,17/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ZULKEFLI ZAINAL ABIDIN ,MAS,EC123456797,EC123456799,18/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ABD GHANI ZAINUN,MAS,EC123456798,EC123456800,19/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ZUBIR SHAARI,MAS,EC123456799,EC123456801,20/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,GHAZALI MARALI,MAS,EC123456800,EC123456802,21/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,MOHD FOZI TAJUDDIN,MAS,EC123456801,EC123456803,22/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,BADARUDDIN JONED,MAS,EC123456802,EC123456804,23/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,BAHARUDDIN BAKAR,MAS,EC123456803,EC123456805,24/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,MOHD ZAMRI ABD RAZAK,MAS,EC123456804,EC123456806,25/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,DASILA ALLI MAHMUD,MAS,EC123456805,EC123456807,26/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ROZIKIN MD DIN,MAS,EC123456806,EC123456808,27/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ISMAIL MAT,MAS,EC123456807,EC123456809,28/2/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,SANIT RATTANAPHANE,THA,EC123456808,EC123456810,1/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,SOMPORN BOONROD,THA,EC123456809,EC123456811,2/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,PEUNE INTHANOR,LAO,EC123456810,EC123456812,3/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,ZAW LIN,MYA,EC123456811,EC123456813,4/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,MYAT OO,MYA,EC123456812,EC123456814,5/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,AZMAN BIN AZAMAIN,BRU,EC123456813,EC123456815,6/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,AHMAD JAMALONG,INA,EC123456814,EC123456816,7/3/10,dennis@test.com,908098
TECHNICAL,ASTAF REFEREE,MOHD SABIR,INA,EC123456815,EC123456817,8/3/10,dennis@test.com,908098
