Type,Role,Name,NOC,Passport,NRIC,DateOfBirth,e-mail,mobileno
TECHNICAL,TECHNICAL DELEGATE,DATO ABDUL HALIM KADER,SGP,P10010001,N1001001,1/15/1991,off1@gmail.com, +65-100-1001
TECHNICAL,TOURNAMENT DIRECTOR,MUHAMMAD TAUFIQ,SGP,P10010002,N1001002,1/16/1992,off2@gmail.com, +65-100-1002
TECHNICAL,CHAIRMAN JURY,MUHAMMAD FARIQ,SGP,P10010003,N1001003,1/17/1993,off3@gmail.com, +65-100-1003
TECHNICAL,TECHNICAL OFFICIAL,AMIRAH MOHD ISMAIL,SGP,P10010004,N1001004,2/18/1994,off4@gmail.com, +65-100-1004
TECHNICAL,ISTAF REFEREE,MOHAMMED RADHI BIN CHE MEI,SGP,P10010005,N1001005,2/19/1995,off5@gmail.com, +65-100-1005
TECHNICAL,ISTAF REFEREE,SHAMSUL KAHAR BIN LOB,SGP,P10010006,N1001006,2/20/1996,off6@gmail.com, +65-100-1006
TECHNICAL,ISTAF REFEREE,ISHAK BIN RAZALI,SGP,P10010007,N1001007,10/29/1997,off7@gmail.com, +65-100-1007
TECHNICAL,ASTAF REFEREE,ZAINAL BIN MOHAMED,SGP,P10010008,N1001008,10/30/1998,off8@gmail.com, +65-100-1008
TECHNICAL,ASTAF REFEREE,RASHID BIN KANA,SGP,P10010009,N1001009,10/31/1999,off9@gmail.com, +65-100-1009
TECHNICAL,ASTAF REFEREE,RAMLEE BIN JUMANI,SGP,P10010010,N1001010,11/1/99,off10@gmail.com, +65-100-1010
TECHNICAL,ASTAF REFEREE,ROSLAN BIN AHMAD,SGP,P10010011,N1001011,11/2/99,off11@gmail.com, +65-100-1011
TECHNICAL,ASTAF REFEREE,NOR AZURA BTE MOHD RADHI,SGP,P10010012,N1001012,12/3/02,off12@gmail.com, +65-100-1012
TECHNICAL,ASTAF REFEREE,RAZIB BIN SELAMAT,SGP,P10010013,N1001013,12/4/03,off13@gmail.com, +65-100-1013
TECHNICAL,ASTAF REFEREE,HARON BIN KOSNAN,SGP,P10010014,N1001014,12/5/04,off14@gmail.com, +65-100-1014
TECHNICAL,ASTAF REFEREE,KHAIRIE BIN SANI,SGP,P10010015,N1001015,12/6/05,off15@gmail.com, +65-100-1015
