Type,Role,Name,NOC,Passport,NRIC,DateOfBirth,e-mail,mobileno
TECHNICAL,ASTAF REFEREE,Off_name1,SGP,P10010001,N1001001,1/15/1991,off1@gmail.com, +65-100-1001
TECHNICAL,CHAIRMAN JURY,Off_name2,MAS,P10010002,N1001002,1/16/1992,off2@gmail.com, +65-100-1002
TECHNICAL,CHIEF REFEREE,Off_name3,THA,P10010003,N1001003,1/17/1993,off3@gmail.com, +65-100-1003
TECHNICAL,ISTAF REFEREE,Off_name4,KOR,P10010004,N1001004,2/18/1994,off4@gmail.com, +65-100-1004
TECHNICAL,JURY,Off_name5,JPN,P10010005,N1001005,2/19/1995,off5@gmail.com, +65-100-1005
TECHNICAL,TECHNICAL DELEGATE,Off_name6,TWN,P10010006,N1001006,2/20/1996,off6@gmail.com, +65-100-1006
TECHNICAL,TECHNICAL OFFICIAL,Off_name7,VNM,P10010007,N1001007,10/29/1997,off7@gmail.com, +65-100-1007
TECHNICAL,TOURNAMENT DIRECTOR,Off_name8,USA,P10010008,N1001008,10/30/1998,off8@gmail.com, +65-100-1008
TECHNICAL,REFEREE,Off_name9,SGP,P10010009,N1001009,10/31/1999,off9@gmail.com, +65-100-1009
NON-TECHNICAL,CONTRACTOR,Off_name10,MAS,P10010010,N1001010,11/1/1999,off10@gmail.com, +65-100-1010
NON-TECHNICAL,GUEST,Off_name11,THA,P10010011,N1001011,11/2/1999,off11@gmail.com, +65-100-1011
NON-TECHNICAL,MEDIA,Off_name12,KOR,P10010012,N1001012,12/3/2002,off12@gmail.com, +65-100-1012
NON-TECHNICAL,OFFICIAL,Off_name13,JPN,P10010013,N1001013,12/4/2003,off13@gmail.com, +65-100-1013
NON-TECHNICAL,OTHERS,Off_name14,TWN,P10010014,N1001014,12/5/2004,off14@gmail.com, +65-100-1014
NON-TECHNICAL,VIP,Off_name15,VNM,P10010015,N1001015,12/6/2005,off15@gmail.com, +65-100-1015
