Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,PIECZYNSKI BEAZ Valene,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
,WENDORF Modesto ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
,BEAZ Valene,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
1,HOLMSTROM Valentina,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
2,HACKATHORN Ayesha,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
3,SURO Glennie,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
4,NOFRIZAL,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,FEMALE
5,REZKI YUSUF DJAINA,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,FEMALE
6,RIZKY ABDUL RAHMAN PAGO,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,FEMALE
7,ABDUL HALIM S. RADJIU,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
8,HENDRA PAGO,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
9,HERSON MOHAMAD,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
10,NOFRIZAL,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,FEMALE
11,REZKI YUSUF DJAINA,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,FEMALE
12,RIZKY ABDUL RAHMAN PAGO,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,FEMALE
