Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,PIECZYNSKI BEAZ Valene,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,WENDORF Modesto ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,BEAZ Valene,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
1,SOUVANNALITH Noum,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
2,SOMBATPUTHONE Yothin,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
3,CHANTHAVONG Chanthalak ,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
4,VOLACHAK Vilaxa,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
5,BOUNPASEUTH Phitthasanh,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
6,BOUNPHAIVANH Laksanaxay,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
7,NANTHISEN Kantana,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
8,YANG Kongsy ,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
9,THADANABOUTH Xaibandith,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
