Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,PIECZYNSKI BEAZ Valene,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,WENDORF Modesto ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,BEAZ Valene,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
1,OO Thant Zi,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
2,THU Htet Myat,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
3,MIN Aung Thu ,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
4,OO Zin Mi,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
5,SWE Aung Myo,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
6,AUNG Wai Lin,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
7,LATT Hein ,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
8,LIN Si Thu,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
9,LATT Zaw,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
