Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,SYAFRIZAL BAKHTIAR           ,TEAM MANAGER,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,ASRY SYAM           ,COACH,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,TRIAJI           ,ASST COACH,10/1/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
11,ABDUL HALIM S RADJIU,TEKONG,10/2/1978,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
9,HENDRA PAGO,FEEDER,1/2/1978,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
1,HERSON MOHAMAD,STRIKER,1/2/1978,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
8,NOFRIZAL,STRIKER,2/2/1978,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
4,REZKI YUSUF DJAINA,STRIKER,3/2/1978,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
10,RIZKY ABDUL RAHMAN PAGO,TEKONG,4/2/1978,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
7,SAIFUL RIJAL,STRIKER,5/2/1978,1.65,63,EC1238,NRIC,dennis@gmail.com,9123456793,MALE
13,SYAMSUL HADI,FEEDER,6/2/1978,1.65,63,EC1239,NRIC,dennis@gmail.com,9123456794,MALE
12,VICTORIA EKA PRASETYO,TEKONG,7/2/1978,1.65,63,EC1240,NRIC,dennis@gmail.com,9123456795,MALE
