Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,SYAFRIZAL BAKTHIAR,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,ASRY SYAM,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
,ABDUL GANI,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
3,DINI MITA SARI,FEEDER,13/1/89,1.62,52,EC1245,NRIC,dennis@gmail.com,9123456800,FEMALE
8,EVANA RAHMAWATI,STRIKER,28/6/96,1.61,53,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
5,FLORENSIA CRISTY,FEEDER,19/3/92,1.75,63,EC1246,NRIC,dennis@gmail.com,9123456801,FEMALE
6,LENA,STRIKER,7/6/89,1.63,52,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
2,LENI,FEEDER,7/6/89,1.63,53,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
13,DINI MITA SARI,FEEDER,13/1/89,1.62,52,EC1245,NRIC,dennis@gmail.com,9123456800,MALE
18,EVANA RAHMAWATI,STRIKER,28/6/96,1.61,53,EC1247,NRIC,dennis@gmail.com,9123456802,MALE
15,FLORENSIA CRISTY,FEEDER,19/3/92,1.75,63,EC1246,NRIC,dennis@gmail.com,9123456801,MALE
16,LENA,STRIKER,7/6/89,1.63,52,EC1247,NRIC,dennis@gmail.com,9123456802,MALE
12,LENI,FEEDER,7/6/89,1.63,53,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
