Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,SYAFRIZAL BAKHTIAR           ,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,ASRY SYAM           ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,TRIAJI           ,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
1,ABDUL HALIM S. RADJIU,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
2,HENDRA PAGO,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
3,HERSON MOHAMAD,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
4,NOFRIZAL,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
5,REZKI YUSUF DJAINA,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
6,RIZKY ABDUL RAHMAN PAGO,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
7,ABDUL HALIM S. RADJIU,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
8,HENDRA PAGO,TEKONG,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
9,HERSON MOHAMAD,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
10,NOFRIZAL,FEEDER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
11,REZKI YUSUF DJAINA,TEKONG,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
12,RIZKY ABDUL RAHMAN PAGO,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
