Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,HTUT KHAING NEW,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,KYAW ZIN MOE ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,AUNG MYO TWIN ,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
4,AUNG MYO SWE,FEEDER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
12,AUNG MYO NAING ,STRIKER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789
6,WAI LIN AUNG ,FEEDER,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789
9,MTET MYAT THU ,STRIKER,2/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790
3,ZIN MIN OO ,FEEDER,3/2/78,1.65,63,EC1236,NRIC,dennis@gmail.com,9123456791
10,AUNG PYAE TUN ,STRIKER,4/2/78,1.65,63,EC1237,NRIC,dennis@gmail.com,9123456792
2,ZAW ZAW AUNG ,STRIKER,5/2/78,1.65,63,EC1238,NRIC,dennis@gmail.com,9123456793
7,THANT ZIN OO ,STRIKER,6/2/78,1.65,63,EC1239,NRIC,dennis@gmail.com,9123456794
11,ZIN KO KO ,FEEDER,7/2/78,1.65,63,EC1240,NRIC,dennis@gmail.com,9123456795
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
