Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,DATIN NAZIRAH BT NGASRI,TEAM MANAGER,12/7/79,1.55,57,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
,MD FIKRI MD NOR,COACH,12/8/79,1.51,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,NORDIN SABARUDIN,ASST COACH,12/9/79,1.55,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
7,NOR FARHANA BINTI ISMAIL,FEEDER,11/9/92,1.55,53,EC1245,NRIC,dennis@gmail.com,9123456800,FEMALE
4,NURRASHIDAH BINTI ABDUL RASHID ,STRIKER,10/8/87,1.51,46,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
6,NURUL IZZATUL HIKMAH BINTI MD ZULKIFLI,STRIKER,6/20/1992,1.55,48,EC1246,NRIC,dennis@gmail.com,9123456801,FEMALE
1,SITI NOR SUHAIDA BINTI JAFRI,TEKONG,6/22/1996,1.62,57,EC1247,NRIC,dennis@gmail.com,9123456802,FEMALE
3,SITI NORZUBAIDAH BINTI CHE AB WAHAB,TEKONG,9/6/90,1.6,56,EC1234,NRIC,dennis@gmail.com,9123456789,FEMALE
9,EMILIA EVA NATASHA BINTI SAUDIA,STRIKER,10/6/90,1.6,56,EC1235,NRIC,dennis@gmail.com,9123456790,FEMALE
,MOHD ZAMRI ABD RAHMAN ,TEAM MANAGER,12/7/79,1.55,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,ABD TALIB BIN AHMAD,COACH,12/8/79,1.51,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
,SOFIX NAZRI,ASST COACH,12/9/79,1.55,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
5,AHMAD AIZAT BIN MOHD NOR AZMI,FEEDER,12/7/79,1.77,57,EC1234,NRIC,dennis@gmail.com,9123456789,MALE
17,AMIRUL ZAZWAN BIN AMIR,STRIKER,13/7/79,1.77,57,EC1235,NRIC,dennis@gmail.com,9123456790,MALE
20,MUHAMAD SUHAIRI BIN SULAIMAN,STRIKER,14/7/79,1.77,57,EC1236,NRIC,dennis@gmail.com,9123456791,MALE
6,MUHAMMAD AFIFUDDIN BIN MOHD RAZALI,TEKONG,15/7/79,1.77,57,EC1237,NRIC,dennis@gmail.com,9123456792,MALE
7,MUHAMMAD KAMAL B. ISHAK,TEKONG,16/7/79,1.77,57,EC1238,NRIC,dennis@gmail.com,9123456793,MALE
14,ZULEFFENDI BIN SUMARI,STRIKER,17/7/79,1.77,57,EC1239,NRIC,dennis@gmail.com,9123456794,MALE
