Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,THAWAT KUMUTPONGPANIT           ,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,KAMOL TANKIMHONG           ,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,SOMPORN SAENYABUT NAPA TANGTO           ,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
13,RACHAN VIPHAN,FEEDER,10/2/78,1.61,57,EC1245,NRIC,dennis@gmail.com,9123456800
24,SURIYON KOONPIMON,STRIKER,1/2/78,1.65,63,EC1247,NRIC,dennis@gmail.com,9123456802
3,SEKSAN TUBTONG,FEEDER,1/2/78,1.65,63,EC1246,NRIC,dennis@gmail.com,9123456801
8,JUTAWAT SRITHONG,STRIKER,2/2/78,1.65,63,EC1247,NRIC,dennis@gmail.com,9123456802
10,ASSADIN WONGYOTA,FEEDER,3/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789
21,JIRASAK PAKBUANGEON,STRIKER,4/2/78,1.65,63,EC1235,NRIC,dennis@gmail.com,9123456790
14,TREEPONG RAWANGPAI,RESERVE,5/2/78,1.65,63,EC1248,NRIC,dennis@gmail.com,9123456803
6,WICHAN TEMKORT,RESERVE,6/2/78,1.65,63,EC1249,NRIC,dennis@gmail.com,9123456804
5,PORNCHAI KAOKAEW,STRIKER,7/2/78,1.65,63,EC1238,NRIC,dennis@gmail.com,9123456793
