Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,MANAGER,TEAM MANAGER,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,COACH,COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
,ASST COACH,ASST COACH,10/1/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
1,KOSHIDA SENTARO,TEAM MANAGER,10/2/78,1.61,57,EC1234,NRIC,dennis@gmail.com,9123456789
2,IIDA YOSHITAKA,COACH,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789
3,TERASHIMA TAKESHI,TEKONG ,1/2/78,1.65,63,EC1234,NRIC,dennis@gmail.com,9123456789
,TAKANO SEIYA,FEEDER ,,,,,,,
,KOBAYASHI HIROKAZU,STRIKER ,,,,,,,
,HAYASHI MASANORI,STRIKER ,,,,,,,
,SATO YUKI,TEKONG ,,,,,,,
,NAITO TOSHITAKA,FEEDER ,,,,,,,
,SATO TSUBASA,STRIKER ,,,,,,,
,YAMADA MASAHIRO,TEKONG ,,,,,,,
,SUGIMORI KEITA,FEEDER ,,,,,,,
,MITO IKKI,STRIKER ,,,,,,,
,OTA SHUNICHI,TEKONG ,,,,,,,
,SAKAMOTO RYUTARO,FEEDER ,,,,,,,
,TAMAKI DAISHI,STRIKER ,,,,,,,
,ICHIKAWA YOTA,STRIKER ,,,,,,,
,TAKAHASHI FUMIYA,STRIKER ,,,,,,,
