Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,MOHAMMAD ISA BIN HJ MARRIDI,TEAM MANAGER,1/15/1991,1.61,61,BRU100101,BRU100101,name1@hotmail.com, +65-100-1001
,RAWAT PARBCHOMPOO,COACH,1/15/1992,1.61,61,BRU100102,BRU100102,name1@hotmail.com, +65-100-1002
,ISMAIL ANG,ASST COACH,1/15/1993,1.61,61,BRU100103,BRU100103,name1@hotmail.com, +65-100-1003
1,JATIE HIDAYAT BIN SAIDI,TEKONG ,1/15/1994,1.61,61,BRU100104,BRU100104,name1@hotmail.com, +65-100-1004
2,MOHAMMAD NAJROL NIJAM BIN A.HAMOUN,FEEDER ,1/15/1995,1.61,61,BRU100105,BRU100105,name1@hotmail.com, +65-100-1005
3,MOHAMMAD SELAMAT BIN YAKUP,STRIKER ,1/15/1996,1.61,61,BRU100106,BRU100106,name1@hotmail.com, +65-100-1006
4,MOHO ALLIFFUDDIN JAMALUDIN,TEKONG ,1/15/1997,1.61,61,BRU100107,BRU100107,name1@hotmail.com, +65-100-1007
5,AMMAD HABBIBUDDIN BIN JAMALUDIN,FEEDER ,1/15/1998,1.61,61,BRU100108,BRU100108,name1@hotmail.com, +65-100-1008
6,ABDUL WASI' NOROIN,STRIKER ,1/15/1999,1.61,61,BRU100109,BRU100109,name1@hotmail.com, +65-100-1009
7,ABDUL HADI ARIFFIN MATALI,FEEDER ,1/15/2000,1.61,61,BRU100110,BRU100110,name1@hotmail.com, +65-100-1010
8,MUHAMMAD AJRI BIN AWANGABOUL HARITH,STRIKER ,1/15/2001,1.61,61,BRU100111,BRU100111,name1@hotmail.com, +65-100-1011
9,MOHAMMAD AIMAN BIN MATAHIR,FEEDER ,1/15/2002,1.61,61,BRU100112,BRU100112,name1@hotmail.com, +65-100-1012
10,NUR ALIMIN BIN SUNGGOH,STRIKER ,1/15/2003,1.61,61,BRU100113,BRU100113,name1@hotmail.com, +65-100-1013
11,ABDUL MUIJ NORDIN,STRIKER ,1/15/2004,1.61,61,BRU100114,BRU100114,name1@hotmail.com, +65-100-1014
