Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,LUKMAN' HUSAIN,TEAM MANAGER ,1/15/1991,1.61,61,INA00101,INA00101,name1@hotmail.com, +65-100-1001
,JUMAEDY'' ISHAK,COACH ,1/15/1992,1.61,61,INA00102,INA00102,name1@hotmail.com, +65-100-1002
,ASRI SYAM,ASST COACH , ,1.61,61,INA00103,INA00103,name1@hotmail.com, +65-100-1003
4,HERSON TAHA,TEKONG ,1/15/1994,1.61,61,INA00104,INA00104,name1@hotmail.com, +65-100-1004
5,ABDUL HALIM,FEEDER ,1/15/1995,1.61,61,INA00105,INA00105,name1@hotmail.com, +65-100-1005
6,RIZKY PAGO,STRIKER ,1/15/1996,1.61,61,INA00106,INA00106,name1@hotmail.com, +65-100-1006
7,DWI DIKA SAPUTRA,TEKONG ,1/15/1997,1.61,61,INA00107,INA00107,name1@hotmail.com, +65-100-1007
8,YUDI PURNOMO,FEEDER ,1/15/1998,1.61,61,INA00108,INA00108,name1@hotmail.com, +65-100-1008
9,SAIFUL RIJAL,STRIKER ,1/15/1999,1.61,61,INA00109,INA00109,name1@hotmail.com, +65-100-1009
10,HERSON MUHAMMAD,TEKONG ,1/15/2000,1.61,61,INA00110,INA00110,name1@hotmail.com, +65-100-1010
11,REZA NOV KURNIAWAN,FEEDER ,1/15/2001,1.61,61,INA00111,INA00111,name1@hotmail.com, +65-100-1011
12,ANDI PATURAY,STRIKER ,1/15/2002,1.61,61,INA00112,INA00112,name1@hotmail.com, +65-100-1012
13,HENDRA PAGO,TEKONG ,1/15/2003,1.61,61,INA00113,INA00113,name1@hotmail.com, +65-100-1013
14,RIZKY ZAINA,FEEDER ,1/15/2004,1.61,61,INA00114,INA00114,name1@hotmail.com, +65-100-1014
15,HADI PURNOMO,STRIKER ,1/15/2005,1.61,61,INA00115,INA00115,name1@hotmail.com, +65-100-1015
16,WISNU DWI SUHANTORO,STRIKER ,1/15/2006,1.61,61,INA00116,INA00116,name1@hotmail.com, +65-100-1016
17,TRI GUNAWAN,STRIKER ,1/15/2007,1.61,61,INA00117,INA00117,name1@hotmail.com, +65-100-1017
18,IQBAL SUNGGU,STRIKER ,1/15/2008,1.61,61,INA00118,INA00118,name1@hotmail.com, +65-100-1018
19,PUDIA SANJAYA,FEEDER ,1/15/2009,1.61,61,INA00119,INA00119,name1@hotmail.com, +65-100-1018
20,MOAMMAR MAULANA,FEEDER ,1/15/2010,1.61,61,INA00120,INA00120,name1@hotmail.com, +65-100-1018
21,EDDY FADIL RACHMAN,FEEDER ,1/15/2011,1.61,61,INA00121,INA00121,name1@hotmail.com, +65-100-1018
