Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo,Gender
,KOSHIDA SENTARO,TEAM MANAGER,1/15/1991,1.61,61,JPN00101,JPN00101,name1@hotmail.com,100001,MALE
,IIDA YOSHITAKA,COACH,1/15/1992,1.61,61,JPN00102,JPN00102,name1@hotmail.com,100001,MALE
3,TERASHIMA TAKESHI,TEKONG ,1/15/1993,1.61,61,JPN00103,JPN00103,name1@hotmail.com,100001,MALE
4,TAKANO SEIYA,FEEDER ,1/15/1994,1.61,61,JPN00104,JPN00104,name1@hotmail.com,100001,MALE
5,KOBAYASHI HIROKAZU,STRIKER ,1/15/1995,1.61,61,JPN00105,JPN00105,name1@hotmail.com,100001,MALE
6,HAYASHI MASANORI,STRIKER ,1/15/1996,1.61,61,JPN00106,JPN00106,name1@hotmail.com,100001,MALE
7,SATO YUKI,TEKONG ,1/15/1997,1.61,61,JPN00107,JPN00107,name1@hotmail.com,100001,MALE
8,NAITO TOSHITAKA,FEEDER ,1/15/1998,1.61,61,JPN00108,JPN00108,name1@hotmail.com,100001,MALE
9,SATO TSUBASA,STRIKER ,1/15/1999,1.61,61,JPN00109,JPN00109,name1@hotmail.com,100001,MALE
10,YAMADA MASAHIRO,TEKONG ,1/15/2000,1.61,61,JPN00110,JPN00110,name1@hotmail.com,100001,MALE
11,SUGIMORI KEITA,FEEDER ,1/15/2001,1.61,61,JPN00111,JPN00111,name1@hotmail.com,100001,MALE
12,MITO IKKI,STRIKER ,1/15/2002,1.61,61,JPN00112,JPN00112,name1@hotmail.com,100001,MALE
13,OTA SHUNICHI,TEKONG ,1/15/2003,1.61,61,JPN00113,JPN00113,name1@hotmail.com,100001,MALE
14,SAKAMOTO RYUTARO,FEEDER ,1/15/2004,1.61,61,JPN00114,JPN00114,name1@hotmail.com,100001,MALE
15,TAMAKI DAISHI,STRIKER ,1/15/2005,1.61,61,JPN00115,JPN00115,name1@hotmail.com,100001,MALE
16,ICHIKAWA YOTA,STRIKER ,1/15/2006,1.61,61,JPN00116,JPN00116,name1@hotmail.com,100001,MALE
17,TAKAHASHI FUMIYA,STRIKER ,1/15/2007,1.61,61,JPN00117,JPN00117,name1@hotmail.com,100001,MALE
