Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
1,LEE QOEAGYU,OFFICIAL ,1/15/1991,1.61,61,KOR00101,KOR00101,name1@hotmail.com, +65-100-1001
2,KIM HYUNGSAN,OFFICIAL ,1/15/1992,1.61,61,KOR00102,KOR00102,name1@hotmail.com, +65-100-1002
3,AIDEN SUNGSU KIM,OFFICIAL ,1/15/1993,1.61,61,KOR00103,KOR00103,name1@hotmail.com, +65-100-1003
4,LEE DAESUP,TEAM MANAGER ,1/15/1994,1.61,61,KOR00104,KOR00104,name1@hotmail.com, +65-100-1004
5,MIN SEUNGKI,COACH ,1/15/1995,1.61,61,KOR00105,KOR00105,name1@hotmail.com, +65-100-1005
6,YOO DONGYOUNG,STRIKER ,1/15/1996,1.61,61,KOR00106,KOR00106,name1@hotmail.com, +65-100-1006
7,HONG SEUNG HYUN,TEKONG ,1/15/1997,1.61,61,KOR00107,KOR00107,name1@hotmail.com, +65-100-1007
8,MA KWANG HEE,FEEDER ,1/15/1998,1.61,61,KOR00108,KOR00108,name1@hotmail.com, +65-100-1008
9,PARK CHEOL HEE,STRIKER ,1/15/1999,1.61,61,KOR00109,KOR00109,name1@hotmail.com, +65-100-1009
10,PARK HYEON GEUN,TEKONG ,1/15/2000,1.61,61,KOR00110,KOR00110,name1@hotmail.com, +65-100-1010
11,SEON WOO YOUNG SU,FEEDER ,1/15/2001,1.61,61,KOR00111,KOR00111,name1@hotmail.com, +65-100-1011
12,SHIN HAN YOUNG,STRIKER ,1/15/2002,1.61,61,KOR00112,KOR00112,name1@hotmail.com, +65-100-1012
13,LEE MYUNG JUNG,TEKONG ,1/15/2003,1.61,61,KOR00113,KOR00113,name1@hotmail.com, +65-100-1013
14,LEE MIN JU,FEEDER ,1/15/2004,1.61,61,KOR00114,KOR00114,name1@hotmail.com, +65-100-1014
15,LEE JUN HO,STRIKER ,1/15/2005,1.61,61,KOR00115,KOR00115,name1@hotmail.com, +65-100-1015
16,LIM TAE GYUN,STRIKER ,1/15/2006,1.61,61,KOR00116,KOR00116,name1@hotmail.com, +65-100-1016
17,JEON YOUNG MAN,STRIKER ,1/15/2007,1.61,61,KOR00117,KOR00117,name1@hotmail.com, +65-100-1017
18,HWANG YONG KWAN,STRIKER ,1/15/2008,1.61,61,KOR00118,KOR00118,name1@hotmail.com, +65-100-1017
