Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
1,MOHD ZAMBRI' BIN ABDUL RAHMAN,TEAM MANAGER ,1/15/1991,1.61,61,MAS100101,MAS100101,name1@hotmail.com, +65-100-1001
2,ABD TALIB' BIN AHMAD,COACH ,1/15/1992,1.61,61,MAS100102,MAS100102,name1@hotmail.com, +65-100-1002
3,ROSLI BIN' ABD RAHMAN,ASST COACH ,1/15/1993,1.61,61,MAS100103,MAS100103,name1@hotmail.com, +65-100-1003
4,MOHAMMAD SYAHIR BIN MOHD ROSDI,TEKONG ,1/15/1994,1.61,61,MAS100104,MAS100104,name1@hotmail.com, +65-100-1004
5,MUHAMMAD NAZMI BIN MOHD NAJIB,FEEDER ,1/15/1995,1.61,61,MAS100105,MAS100105,name1@hotmail.com, +65-100-1005
6,SAHIDAN BIN MD ALI,STRIKER ,1/15/1996,1.61,61,MAS100106,MAS100106,name1@hotmail.com, +65-100-1006
7,AHMAD AIZAT BIN MOHD NOR AZMI,TEKONG ,1/15/1997,1.61,61,MAS100107,MAS100107,name1@hotmail.com, +65-100-1007
8,MOHD KHAIROL ZAMAN BIN HAMIR AKHBAR,FEEDER ,1/15/1998,1.61,61,MAS100108,MAS100108,name1@hotmail.com, +65-100-1008
9,MOHD HANAFIAH BIN DOLAH,STRIKER ,1/15/1999,1.61,61,MAS100109,MAS100109,name1@hotmail.com, +65-100-1009
10,MUHAMMAD AFIFUDDIN BIN MOHD RAZALI,TEKONG ,1/15/2000,1.61,61,MAS100110,MAS100110,name1@hotmail.com, +65-100-1010
11,MUHAMMAD FADZIL BIN MUSTAFA,FEEDER ,1/15/2001,1.61,61,MAS100111,MAS100111,name1@hotmail.com, +65-100-1011
12,FARHAN BIN ADAM,STRIKER ,1/15/2002,1.61,61,MAS100112,MAS100112,name1@hotmail.com, +65-100-1012
13,MOHD SAFARUDIN BIN ABU BAKAR,TEKONG ,1/15/2003,1.61,61,MAS100113,MAS100113,name1@hotmail.com, +65-100-1013
14,ZULEFFENDI BIN SUMARI,FEEDER ,1/15/2004,1.61,61,MAS100114,MAS100114,name1@hotmail.com, +65-100-1014
15,MOHD SYAZREENQAMAR BIN SALEHAN,STRIKER ,1/15/2005,1.61,61,MAS100115,MAS100115,name1@hotmail.com, +65-100-1015
16,IZURIN BIN REFIN,STRIKER ,1/15/2006,1.61,61,MAS100116,MAS100116,name1@hotmail.com, +65-100-1016
17,MUHAMMAD SUHAIRI BIN SULAIMAN,STRIKER ,1/15/2007,1.61,61,MAS100117,MAS100117,name1@hotmail.com, +65-100-1017
18,MUHAMMAD SYAKIRIN BIN MD NASIR,STRIKER ,1/15/2008,1.61,61,MAS100118,MAS100118,name1@hotmail.com, +65-100-1017
19,WAN MUHAMMAD ANAS MUHAIMI BIN WAN MOHD ASRI,STRIKER ,1/15/2009,1.61,61,MAS100119,MAS100119,name1@hotmail.com, +65-100-1018
20,MUHAMMAD KAMAL BIN ISHAK,STRIKER ,1/15/2010,1.61,61,MAS100120,MAS100120,name1@hotmail.com, +65-100-1019
21,NUR YUSLIE BIN MD JUSOH,STRIKER ,1/15/2011,1.61,61,MAS100121,MAS100121,name1@hotmail.com, +65-100-1020
