Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,,"MobileNo(space)(country code)(phone number)"
,MOHD NASRI HARON ,TEAM MANAGER,1/15/1991,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com,*+65-100-1001
,RAIMON BUDIN ,ASST COACH,1/15/1992,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1002
,PADZIL OTHMAN ,COACH,1/15/1993,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1003
1,MOHAMAD FARHAN BIN AMRAN,TEKONG ,1/15/1994,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1004
2,MUHAMMAD DANIAL FERIZA BIN PADZLI,TEKONG ,1/15/1995,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1005
3,MUHAMMAD ASRI BIN ARON,TEKONG ,1/15/1996,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1006
4,MUHAMMAD IQMAL BIN KHASBULLAH,TEKONG ,1/15/1997,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1007
5,MUHAMMAD AFIF BIN SAFIEE,STRIKER ,1/15/1998,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1008
6,MUHAMMAD HAFIZ NOR IZAM BIN JAAFAR,STRIKER ,1/15/1999,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1009
7,ASFANDI BIN JAAL,STRIKER ,1/15/2000,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1010
8,MUHAMMAD MAGRIB BIN IBRAHIM,STRIKER ,1/15/2001,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1011
9,NOR IRSHARUDDIN BIN IKHSAN,STRIKER ,1/15/2002,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1012
10,MOHAMED ELHAZEEQ UL HAQ BIN MOHAMED EHSAN UL HAQ,TEKONG ,1/15/2003,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1013
11,MUHAMMAD IZWANDY BIN ZAMRI,STRIKER ,1/15/2004,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1014
12,MUHAMMAD FARHAN BIN AMAN,FEEDER ,1/15/2005,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1015
13,RAIHAN BIN ALLADIN,FEEDER ,1/15/2006,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1016
14,UMAR BIN MOHAMMAD MOHTAR,FEEDER ,1/15/2007,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1017
15,MUHAMMAD YASSIN BIN SUHAIMI,FEEDER ,1/15/2008,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1018
16,EDDY NOR SHAFIQ BIN SAHARI,FEEDER ,1/15/2009,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1019
17,MOHAMAD FAIZAL BIN MOHD SAAD,FEEDER ,1/15/2010,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1020
18,MUHAMMAD KHAIRULNIZAM BIN MOHD ABDUL KAHAR,FEEDER ,1/15/2011,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1021
19,MOHAMAD ALHAJ KASMANANI,STRIKER ,1/15/2012,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1022
20,SYAFIK ABDULLAH,TEKONG ,1/15/2013,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1023
