Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
,HUANG CHUNG JENG,TEAM MANAGER ,1/15/1991,1.61,61,TPE100101,TPE100101,name1@hotmail.com, +65-100-1001
,CHEN HSIEN CHUNG,ASST TEAM MANAGER ,1/15/1992,1.61,61,TPE100102,TPE100102,name1@hotmail.com, +65-100-1002
,CHENG LI YUAN,COACH ,1/15/1993,1.61,61,TPE100103,TPE100103,name1@hotmail.com, +65-100-1003
4,LIN KUO JUI,ASST COACH ,1/15/1994,1.61,61,TPE100104,TPE100104,name1@hotmail.com, +65-100-1004
5,JAN YU TING,FEEDER ,1/15/1995,1.61,61,TPE100105,TPE100105,name1@hotmail.com, +65-100-1005
6,CHAN YU FENG,STRIKER ,1/15/1996,1.61,61,TPE100106,TPE100106,name1@hotmail.com, +65-100-1006
7,CHIANG LI WEI,TEKONG ,1/15/1997,1.61,61,TPE100107,TPE100107,name1@hotmail.com, +65-100-1007
8,LIU CHANG YU,FEEDER ,1/15/1998,1.61,61,TPE100108,TPE100108,name1@hotmail.com, +65-100-1008
9,WU DING YI,STRIKER ,1/15/1999,1.61,61,TPE100109,TPE100109,name1@hotmail.com, +65-100-1009
10,CHEN PO YING,TEKONG ,1/15/2000,1.61,61,TPE100110,TPE100110,name1@hotmail.com, +65-100-1010
11,CHEN KUAN YU,FEEDER ,1/15/2001,1.61,61,TPE100111,TPE100111,name1@hotmail.com, +65-100-1011
12,HSIEH CHENG YING,STRIKER ,1/15/2002,1.61,61,TPE100112,TPE100112,name1@hotmail.com, +65-100-1012
13,TAO PING YEH,TEKONG ,1/15/2003,1.61,61,TPE100113,TPE100113,name1@hotmail.com, +65-100-1013
14,LEE HSIN JUNG,FEEDER ,1/15/2004,1.61,61,TPE100114,TPE100114,name1@hotmail.com, +65-100-1014
15,FANG JUI CHAO,STRIKER ,1/15/2005,1.61,61,TPE100115,TPE100115,name1@hotmail.com, +65-100-1015
16,WANG CHANG YING,STRIKER ,1/15/2006,1.61,61,TPE100116,TPE100116,name1@hotmail.com, +65-100-1016
17,LO SHANG YU,STRIKER ,1/15/2007,1.61,61,TPE100117,TPE100117,name1@hotmail.com, +65-100-1017
18,YANG JING HUA,STRIKER ,1/15/2008,1.61,61,TPE100118,TPE100118,name1@hotmail.com, +65-100-1018
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
