Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
1,a1Person Name1,TEKONG,1/15/1991,1.61,61,a1PP100101A,NP100101B,name1@hotmail.com, +65-100-1001
2,a1Person Name2,FEEDER,1/16/1992,1.62,62,a1PP100101A,NP100101B,name2@hotmail.com, +65-100-1002
3,a1Person Name3,STRIKER,1/17/1993,1.63,63,a1PP100101A,NP100101B,name3@hotmail.com, +65-100-1003
4,a1Person Name4,TEKONG,2/18/1994,1.64,64,a1PP100101A,NP100101B,name4@hotmail.com, +65-100-1004
5,a1Person Name5,FEEDER,2/19/1995,1.65,65,a1PP100101A,NP100101B,name5@hotmail.com, +65-100-1005
6,a1Person Name6,STRIKER,2/20/1996,1.66,66,a1PP100101A,NP100101B,name6@hotmail.com, +65-100-1006
7,a1Person Name7,TEKONG,10/29/1997,1.67,67,a1PP100101A,NP100101B,name7@hotmail.com, +65-100-1007
8,a1Person Name8,TEKONG,10/30/1998,1.68,68,a1PP100101A,NP100101B,name8@hotmail.com, +65-100-1008
9,a1Person Name9,FEEDER,10/31/1999,1.69,69,a1PP100101A,NP100101B,name9@hotmail.com, +65-100-1009
10,a1Person Name10,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,name10@hotmail.com, +65-100-1010
11,a1Person Name11,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,name11@hotmail.com, +65-100-1011
12,a1Person Name12,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,name12@hotmail.com, +65-100-1012
,a1Person Name13,COACH,4/7/1994,1.73,73,a1PP100101A,NP100101B,name13@hotmail.com, +65-100-1013
,a1Person Name14,TEAM MANAGER,12/8/1995,1.74,74,a1PP100101A,NP100101B,name14@hotmail.com, +65-100-1014
,a1Person Name15,ASST COACH,12/9/1996,1.75,75,a1PP100101A,NP100101B,name15@hotmail.com, +65-100-1015
