Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
21,Singapore NameA1,TEKONG,1/15/1991,1.61,61,a1PP100101A,NP100101B,nameA1@hotmail.com, +65-100-1001
22,Singapore NameA2,FEEDER,1/16/1992,1.62,62,a1PP100101A,NP100101B,nameA2@hotmail.com, +65-100-1002
23,Singapore NameA3,STRIKER,1/17/1993,1.63,63,a1PP100101A,NP100101B,nameA3@hotmail.com, +65-100-1003
24,Singapore NameA4,TEKONG,2/18/1994,1.64,64,a1PP100101A,NP100101B,nameA4@hotmail.com, +65-100-1004
25,Singapore NameA5,FEEDER,2/19/1995,1.65,65,a1PP100101A,NP100101B,nameA5@hotmail.com, +65-100-1005
26,Singapore NameA6,STRIKER,2/20/1996,1.66,66,a1PP100101A,NP100101B,nameA6@hotmail.com, +65-100-1006
27,Singapore NameA7,TEKONG,10/29/1997,1.67,67,a1PP100101A,NP100101B,nameA7@hotmail.com, +65-100-1007
28,Singapore NameA8,TEKONG,10/30/1998,1.68,68,a1PP100101A,NP100101B,nameA8@hotmail.com, +65-100-1008
29,Singapore NameA9,FEEDER,10/31/1999,1.69,69,a1PP100101A,NP100101B,nameA9@hotmail.com, +65-100-1009
30,Singapore NameA10,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameA10@hotmail.com, +65-100-1010
31,Singapore NameA11,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameA11@hotmail.com, +65-100-1011
32,Singapore NameA12,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameA12@hotmail.com, +65-100-1012
33,Singapore NameA13,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameA13@hotmail.com, +65-100-1010
34,Singapore NameA14,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameA14@hotmail.com, +65-100-1011
35,Singapore NameA15,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameA15@hotmail.com, +65-100-1012
,Singapore NameA16,COACH,4/7/1994,1.73,73,a1PP100101A,NP100101B,nameA16@hotmail.com, +65-100-1013
,Singapore NameA17,TEAM MANAGER,12/8/1995,1.74,74,a1PP100101A,NP100101B,nameA17@hotmail.com, +65-100-1014
,Singapore NameA18,ASST COACH,12/9/1996,1.75,75,a1PP100101A,NP100101B,nameA18@hotmail.com, +65-100-1015
