Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
21,Person NameB1,TEKONG,1/15/1991,1.61,61,a1PP100101A,NP100101B,nameB1@hotmail.com, +65-100-1001
22,Person NameB2,FEEDER,1/16/1992,1.62,62,a1PP100101A,NP100101B,nameB2@hotmail.com, +65-100-1002
23,Person NameB3,STRIKER,1/17/1993,1.63,63,a1PP100101A,NP100101B,nameB3@hotmail.com, +65-100-1003
24,Person NameB4,TEKONG,2/18/1994,1.64,64,a1PP100101A,NP100101B,nameB4@hotmail.com, +65-100-1004
25,Person NameB5,FEEDER,2/19/1995,1.65,65,a1PP100101A,NP100101B,nameB5@hotmail.com, +65-100-1005
26,Person NameB6,STRIKER,2/20/1996,1.66,66,a1PP100101A,NP100101B,nameB6@hotmail.com, +65-100-1006
27,Person NameB7,TEKONG,10/29/1997,1.67,67,a1PP100101A,NP100101B,nameB7@hotmail.com, +65-100-1007
28,Person NameB8,TEKONG,10/30/1998,1.68,68,a1PP100101A,NP100101B,nameB8@hotmail.com, +65-100-1008
29,Person NameB9,FEEDER,10/31/1999,1.69,69,a1PP100101A,NP100101B,nameB9@hotmail.com, +65-100-1009
30,Person NameB10,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameB10@hotmail.com, +65-100-1010
31,Person NameB11,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameB11@hotmail.com, +65-100-1011
32,Person NameB12,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameB12@hotmail.com, +65-100-1012
33,Person NameB13,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameB13@hotmail.com, +65-100-1010
34,Person NameB14,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameB14@hotmail.com, +65-100-1011
,Person NameB15,COACH,4/7/1994,1.73,73,a1PP100101A,NP100101B,nameB15@hotmail.com, +65-100-1013
,Person NameB16,TEAM MANAGER,12/8/1995,1.74,74,a1PP100101A,NP100101B,nameB16@hotmail.com, +65-100-1014
,Person NameB17,ASST COACH,12/9/1996,1.75,75,a1PP100101A,NP100101B,nameB17@hotmail.com, +65-100-1015
