Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
21,CB3 Name1,TEKONG,1/15/1991,1.61,61,a1PP100101A,NP100101B,nameC1@hotmail.com, +65-100-1001
22,CB3 Name2,FEEDER,1/16/1992,1.62,62,a1PP100101A,NP100101B,nameC2@hotmail.com, +65-100-1002
23,CB3 Name3,STRIKER,1/17/1993,1.63,63,a1PP100101A,NP100101B,nameC3@hotmail.com, +65-100-1003
24,CB3 Name4,TEKONG,2/18/1994,1.64,64,a1PP100101A,NP100101B,nameC4@hotmail.com, +65-100-1004
25,CB3 Name5,FEEDER,2/19/1995,1.65,65,a1PP100101A,NP100101B,nameC5@hotmail.com, +65-100-1005
26,CB3 Name6,STRIKER,2/20/1996,1.66,66,a1PP100101A,NP100101B,nameC6@hotmail.com, +65-100-1006
27,CB3 Name7,TEKONG,10/29/1997,1.67,67,a1PP100101A,NP100101B,nameC7@hotmail.com, +65-100-1007
28,CB3 Name8,FEEDER,10/30/1998,1.68,68,a1PP100101A,NP100101B,nameC8@hotmail.com, +65-100-1008
29,CB3 Name9,STRIKER,10/31/1999,1.69,69,a1PP100101A,NP100101B,nameC9@hotmail.com, +65-100-1009
30,CB3 Name10,TEKONG,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameC10@hotmail.com, +65-100-1010
31,CB3 Name11,FEEDER,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameC11@hotmail.com, +65-100-1011
32,CB3 Name12,STRIKER,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameC12@hotmail.com, +65-100-1012
33,CB3 Name13,TEKONG,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameC13@hotmail.com, +65-100-1010
34,CB3 Name14,FEEDER,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameC14@hotmail.com, +65-100-1011
35,CB3 Name15,STRIKER,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameC15@hotmail.com, +65-100-1012
,CB3 Name16,COACH,4/7/1994,1.73,73,a1PP100101A,NP100101B,nameC16@hotmail.com, +65-100-1013
,CB3 Name17,TEAM MANAGER,12/8/1995,1.74,74,a1PP100101A,NP100101B,nameC17@hotmail.com, +65-100-1014
,CB3 Name18,ASST COACH,12/9/1996,1.75,75,a1PP100101A,NP100101B,nameC18@hotmail.com, +65-100-1015
