Jersey,Name,Position,DateOfBirth,Height,Weight,Passport,NRIC,E-mail,MobileNo
21,Person NameD1,TEKONG,1/15/1991,1.61,61,a1PP100101A,NP100101B,nameC1@hotmail.com, +65-100-1001
22,Person NameD2,FEEDER,1/16/1992,1.62,62,a1PP100101A,NP100101B,nameC2@hotmail.com, +65-100-1002
23,Person NameD3,STRIKER,1/17/1993,1.63,63,a1PP100101A,NP100101B,nameC3@hotmail.com, +65-100-1003
24,Person NameD4,TEKONG,2/18/1994,1.64,64,a1PP100101A,NP100101B,nameC4@hotmail.com, +65-100-1004
25,Person NameD5,FEEDER,2/19/1995,1.65,65,a1PP100101A,NP100101B,nameC5@hotmail.com, +65-100-1005
26,Person NameD6,STRIKER,2/20/1996,1.66,66,a1PP100101A,NP100101B,nameC6@hotmail.com, +65-100-1006
27,Person NameD7,TEKONG,10/29/1997,1.67,67,a1PP100101A,NP100101B,nameC7@hotmail.com, +65-100-1007
28,Person NameD8,TEKONG,10/30/1998,1.68,68,a1PP100101A,NP100101B,nameC8@hotmail.com, +65-100-1008
29,Person NameD9,FEEDER,10/31/1999,1.69,69,a1PP100101A,NP100101B,nameC9@hotmail.com, +65-100-1009
30,Person NameD10,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameC10@hotmail.com, +65-100-1010
31,Person NameD11,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameC11@hotmail.com, +65-100-1011
32,Person NameD12,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameC12@hotmail.com, +65-100-1012
33,Person NameD13,STRIKER,3/4/1991,1.7,70,a1PP100101A,NP100101B,nameC13@hotmail.com, +65-100-1010
34,Person NameD14,TEKONG,3/5/1992,1.71,71,a1PP100101A,NP100101B,nameC14@hotmail.com, +65-100-1011
35,Person NameD15,TEKONG,4/6/1993,1.72,72,a1PP100101A,NP100101B,nameC15@hotmail.com, +65-100-1012
,Person NameD16,COACH,4/7/1994,1.73,73,a1PP100101A,NP100101B,nameC16@hotmail.com, +65-100-1013
,Person NameD17,TEAM MANAGER,12/8/1995,1.74,74,a1PP100101A,NP100101B,nameC17@hotmail.com, +65-100-1014
,Person NameD18,ASST COACH,12/9/1996,1.75,75,a1PP100101A,NP100101B,nameC18@hotmail.com, +65-100-1015
